timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
0.851,2.0,114.34222,98.27124,-12.953727,-8.632432,-0.64859307,-0.43222588,4.6872177,1.6079967,56.780674,0.7144547,car,3.0,41.545277,52.678635,-0.001071631,0.003709121,-5.365656e-05,0.00018571569,3.8973339,1.9399595,0.014031171,0.73955613,car,5.3329,5.3431745,19.928164,16.293133
0.901,2.0,113.54667,98.12263,-13.159485,-8.274391,-0.65889543,-0.41429874,4.662276,1.605706,56.721874,0.78825545,car,3.0,41.55194,52.681194,-0.0011115716,0.0035919847,-5.5656386e-05,0.00017985069,3.9013782,1.9420469,0.0136646,0.72253597,car,5.2459097,inf,20.09736,
1.051,1.0,22.409266,37.95155,-3.7146518,-0.4872064,-0.18599261,-0.024394425,4.0802193,2.1363978,13.3160095,0.711182,car,2.0,112.83238,98.23416,-12.8970585,-6.629439,-0.6457557,-0.331936,4.646931,1.6142364,52.946568,0.7802268,car,9.419441,9.44544,8.794879,11.394943
1.101,1.0,22.242199,37.89722,-3.610428,-0.47044536,-0.18077414,-0.023555199,4.067452,2.1214333,12.926297,0.740835,car,2.0,112.37529,98.179695,-12.697583,-6.643572,-0.635768,-0.33264363,4.642985,1.6164258,52.323925,0.82878524,car,9.457338,9.505236,8.697472,11.226298
1.151,1.0,22.026268,37.936474,-3.5188596,-0.44259986,-0.1761893,-0.022160975,4.115522,2.1218247,12.565214,0.74058497,car,2.0,111.98084,98.10387,-12.43876,-6.116134,-0.6228087,-0.30623484,4.6312895,1.6176089,50.602222,0.8107022,car,10.22867,10.495967,7.130601,9.108646
1.602,1.0,21.603209,40.338245,-3.005879,-0.40078273,-0.15050437,-0.02006719,4.1802235,2.1791534,10.651957,0.79548687,car,4.0,12.739114,36.041134,2.541075e-06,-4.9142473e-05,1.2723163e-07,-2.4605636e-06,4.189936,2.2202542,0.00017360176,0.5568962,car,1.9747891,2.7045124,23.571817,21.582237
1.652,1.0,21.618082,40.569843,-2.9520092,-0.41467273,-0.14780709,-0.020762663,4.168768,2.1884441,10.47912,0.766873,car,4.0,12.739114,36.041134,2.541075e-06,-4.9142473e-05,1.2723163e-07,-2.4605636e-06,4.189936,2.2202542,0.00017360176,0.5568962,car,2.6610966,2.77095,22.18806,21.449081
