id_i,id_j,timestamp_max_severity,class_i,class_j,severity_ij_mean,severity_ij_std,severity_ij_median,severity_ij_min,severity_ij_max,severity_ji_mean,severity_ji_std,severity_ji_median,severity_ji_min,severity_ji_max,TTC_ij_mean,TTC_ij_std,TTC_ij_median,TTC_ij_min,TTC_ij_max,TTC_ji_mean,TTC_ji_std,TTC_ji_median,TTC_ji_min,TTC_ji_max,velocity_i_kmh_max_severity,velocity_j_kmh_max_severity
1.0,2.0,1.051,car,car,8.20765,0.93402296,8.697472,7.130601,8.794879,10.57663,1.2741039,11.226298,9.108646,11.394943,9.701817,0.45666188,9.457338,9.419441,10.22867,9.815548,0.5900184,9.505236,9.44544,10.495967,13.3160095,52.946568
1.0,4.0,1.602,car,car,22.87994,0.9784637,22.87994,22.18806,23.571817,21.51566,0.094155386,21.51566,21.449081,21.582237,2.3179429,0.48529264,2.3179429,1.9747891,2.6610966,2.7377312,0.046978563,2.7377312,2.7045124,2.77095,10.651957,0.00017360176
2.0,3.0,0.901,car,car,20.012762,0.1196404,20.012762,19.928164,20.09736,16.293133,,16.293133,16.293133,16.293133,5.289405,0.06151147,5.289405,5.2459097,5.3329,5.3431745,,5.3431745,5.3431745,5.3431745,56.721874,0.0136646
