timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
7.873,23.0,30.099363,54.080235,1.4653426,-0.2736519,0.073482536,-0.013722821,4.996081,2.4161541,5.3717847,0.7717688,van,26.0,15.318418,34.56238,3.4660509,1.9436544,0.17381205,0.097468436,4.5756917,1.849219,14.216194,0.9076496,car,7.5255446,7.269778,12.1756935,13.15477
7.923,23.0,30.167253,54.117672,1.4759761,-0.27203536,0.074015774,-0.013641757,4.9998884,2.4137495,5.407725,0.7812364,van,26.0,15.414709,34.554485,3.4880905,2.0190716,0.17491728,0.10125039,4.5225005,1.8588275,14.434081,0.91277415,car,7.4152203,7.0785985,12.398754,13.550069
7.973,23.0,30.256905,54.16262,1.4906143,-0.27422976,0.074749835,-0.013751799,5.005775,2.4127204,5.4602723,0.7629131,van,26.0,15.506914,34.547874,3.5251052,2.1028578,0.17677346,0.105452016,4.4639077,1.868068,14.718405,0.9107901,car,7.275108,6.8662076,12.682382,13.991585
8.023,23.0,30.315454,54.19789,1.4954565,-0.274622,0.07499266,-0.013771469,5.009827,2.4115968,5.477005,0.742965,van,24.0,33.487152,50.909473,0.72861767,-1.5525951,0.03653799,-0.077857986,4.4921227,2.09569,6.119414,0.83755875,car,-1.0,inf,29.264942,
8.023,23.0,30.315454,54.19789,1.4954565,-0.274622,0.07499266,-0.013771469,5.009827,2.4115968,5.477005,0.742965,van,26.0,15.6145115,34.574436,3.574814,2.18547,0.17926621,0.10959478,4.3906417,1.8780332,15.0530615,0.9164533,car,7.079707,6.649289,13.075081,14.445
8.073,23.0,30.363031,54.235153,1.505631,-0.2804507,0.07550287,-0.014063762,5.0128474,2.4089437,5.5160346,0.7687644,van,24.0,33.46432,50.823406,0.6087516,-1.5482891,0.030527066,-0.07764205,4.5054893,2.0868852,5.9338803,0.8204555,car,-1.0,inf,29.266865,
8.073,23.0,30.363031,54.235153,1.505631,-0.2804507,0.07550287,-0.014063762,5.0128474,2.4089437,5.5160346,0.7687644,van,26.0,15.732089,34.59855,3.6313226,2.2611861,0.18209994,0.1133917,4.317505,1.8925614,15.40344,0.49366218,car,6.886026,6.448887,13.465434,14.866229
8.073,24.0,33.46432,50.823406,0.6087516,-1.5482891,0.030527066,-0.07764205,4.5054893,2.0868852,5.9338803,0.8204555,car,26.0,15.732089,34.59855,3.6313226,2.2611861,0.18209994,0.1133917,4.317505,1.8925614,15.40344,0.49366218,car,4.55347,4.5405016,18.162714,18.69017
8.123,23.0,30.468334,54.293118,1.5132405,-0.28079402,0.07588447,-0.014080977,5.0191903,2.4085052,5.542144,0.8121518,van,26.0,15.832093,34.628963,3.695997,2.345425,0.18534316,0.11761602,4.267977,1.8960539,15.797414,0.50132036,car,6.7007384,6.2585697,13.838292,15.26974
8.123,24.0,33.502357,51.007122,0.48250547,-1.5476824,0.024196202,-0.077611625,4.529513,2.0846105,5.7907405,0.8327496,car,26.0,15.832093,34.628963,3.695997,2.345425,0.18534316,0.11761602,4.267977,1.8960539,15.797414,0.50132036,car,4.4057455,4.352145,18.451633,19.089533
8.174,23.0,30.579277,54.34647,1.5094527,-0.28719163,0.075694524,-0.014401799,5.0244684,2.405877,5.532121,0.81927586,van,26.0,15.928677,34.65668,3.7709353,2.432217,0.1891011,0.12196837,4.208764,1.9144992,16.227215,0.45013934,car,6.4809856,6.0545487,14.278435,15.702799
8.174,24.0,33.472958,50.89985,0.35130718,-1.5518874,0.017617,-0.0778225,4.5444455,2.080025,5.6793494,0.8312131,car,26.0,15.928677,34.65668,3.7709353,2.432217,0.1891011,0.12196837,4.208764,1.9144992,16.227215,0.45013934,car,4.2211843,4.116968,18.815973,19.584764
8.224,23.0,30.689775,54.397923,1.5153311,-0.29462224,0.07598931,-0.014774422,5.0314126,2.4062188,5.558501,0.81427026,van,26.0,16.059238,34.676476,3.8321702,2.5014782,0.19217184,0.12544163,4.138815,1.9066752,16.59727,0.5125184,car,6.322558,5.9063516,14.59742,16.020689
8.224,24.0,33.44993,50.83653,0.21363916,-1.556346,0.010713363,-0.07804608,4.5581293,2.074355,5.6056557,0.8004129,car,26.0,16.059238,34.676476,3.8321702,2.5014782,0.19217184,0.12544163,4.138815,1.9066752,16.59727,0.5125184,car,4.070699,3.894671,19.113897,20.05089
8.274,23.0,30.789902,54.44205,1.517163,-0.2881138,0.07608118,-0.014448044,5.036282,2.4037795,5.5625315,0.78065306,van,26.0,16.164,34.6286,3.8919609,2.570914,0.19517016,0.12892362,4.0868697,1.8935289,16.930737,0.41395807,car,6.197989,5.8086343,14.847388,16.235413
8.274,24.0,33.44859,50.90117,0.07940075,-1.5562391,0.0039817095,-0.07804072,4.5848556,2.0745525,5.5711713,0.79253924,car,26.0,16.164,34.6286,3.8919609,2.570914,0.19517016,0.12892362,4.0868697,1.8935289,16.930737,0.41395807,car,4.1762347,3.686728,18.900665,20.48624
8.324,23.0,30.851192,54.472862,1.5162667,-0.29392767,0.07603623,-0.014739592,5.0405483,2.4026923,5.564478,0.7660165,van,24.0,33.331493,50.569828,-0.058302216,-1.546152,-0.0029236812,-0.077534884,4.595799,2.0672495,5.524579,0.7892921,car,-1.0,inf,29.269255,
8.324,23.0,30.851192,54.472862,1.5162667,-0.29392767,0.07603623,-0.014739592,5.0405483,2.4026923,5.564478,0.7660165,van,26.0,16.251108,34.5183,3.9452014,2.6432354,0.19784002,0.13255033,4.0340295,1.8906608,17.198664,0.4290238,car,6.06705,5.7013307,15.110018,16.465666
8.324,24.0,33.331493,50.569828,-0.058302216,-1.546152,-0.0029236812,-0.077534884,4.595799,2.0672495,5.524579,0.7892921,car,26.0,16.251108,34.5183,3.9452014,2.6432354,0.19784002,0.13255033,4.0340295,1.8906608,17.198664,0.4290238,car,4.117076,3.4459772,19.016909,20.983612
8.374,23.0,30.950508,54.52104,1.5234221,-0.28042987,0.07639505,-0.014062717,5.0472007,2.4039147,5.5826945,0.7353394,van,26.0,16.295645,34.330223,3.988892,2.7110915,0.20003097,0.13595311,3.9947672,1.8728166,17.35063,0.5014653,car,6.026885,5.677747,15.191459,16.521587
